JE_NO,EFF_DATE,ACCOUNT,AMOUNT,SOURCE,COMPANY,FY,Fabricated_JE,TYPE
JE-1,2024-06-29,4010,6611.28,D,C7,2024-01-01 – 2024-12-31,0,0
JE-1,2024-06-29,1000,-6611.28,D,C7,2024-01-01 – 2024-12-31,0,0
JE-2,2024-02-14,5121,7805.39,G,C6,2024-01-01 – 2024-12-31,0,0
JE-2,2024-02-14,3106,-7805.39,G,C6,2024-01-01 – 2024-12-31,0,0
JE-3,2024-12-10,3106,5262.26,B,C8,2024-01-01 – 2024-12-31,0,0
JE-3,2024-12-10,1198,-5262.26,B,C8,2024-01-01 – 2024-12-31,0,0
JE-4,2024-11-28,1198,4460.19,C,C6,2024-01-01 – 2024-12-31,0,0
JE-4,2024-11-28,4010,-4460.19,C,C6,2024-01-01 – 2024-12-31,0,0
JE-5,2024-09-21,4010,9392.88,B,C1,2024-01-01 – 2024-12-31,0,0
JE-5,2024-09-21,3106,-9392.88,B,C1,2024-01-01 – 2024-12-31,0,0
JE-6,2024-09-19,1198,3048.28,E,C5,2024-01-01 – 2024-12-31,0,0
JE-6,2024-09-19,1151,-3048.28,E,C5,2024-01-01 – 2024-12-31,0,0
JE-7,2024-03-17,3106,4905.93,B,C8,2024-01-01 – 2024-12-31,0,0
JE-7,2024-03-17,4010,-4905.93,B,C8,2024-01-01 – 2024-12-31,0,0
JE-8,2024-08-20,5121,7996.31,B,C1,2024-01-01 – 2024-12-31,0,0
JE-8,2024-08-20,5121,-7996.31,B,C1,2024-01-01 – 2024-12-31,0,0
JE-9,2024-01-06,1151,4360.16,A,C5,2024-01-01 – 2024-12-31,0,0
JE-9,2024-01-06,1000,-4360.16,A,C5,2024-01-01 – 2024-12-31,0,0
JE-10,2024-01-26,123,7022.12,G,C7,2024-01-01 – 2024-12-31,1,2
JE-10,2024-01-26,1000,-7022.12,G,C7,2024-01-01 – 2024-12-31,1,2
JE-11,2024-02-15,98765,3302.08,C,C8,2024-01-01 – 2024-12-31,1,2
JE-11,2024-02-15,1198,-3302.08,C,C8,2024-01-01 – 2024-12-31,1,2
JE-12,2024-11-06,1104,6091.71,G,C5,2024-01-01 – 2024-12-31,0,0
JE-12,2024-11-06,3106,-6091.71,G,C5,2024-01-01 – 2024-12-31,0,0
JE-13,2024-06-14,3106,9268.33,G,C3,2024-01-01 – 2024-12-31,0,0
JE-13,2024-06-14,4010,-9268.33,G,C3,2024-01-01 – 2024-12-31,0,0
JE-14,2024-07-17,3106,8343.74,D,C7,2024-01-01 – 2024-12-31,0,0
JE-14,2024-07-17,5121,-8343.74,D,C7,2024-01-01 – 2024-12-31,0,0
JE-15,2024-09-08,1151,4689.18,E,C5,2024-01-01 – 2024-12-31,0,0
JE-15,2024-09-08,6061,-4689.18,E,C5,2024-01-01 – 2024-12-31,0,0
JE-16,2024-05-03,1000,1627.21,D,C4,2024-01-01 – 2024-12-31,0,0
JE-16,2024-05-03,1151,-1627.21,D,C4,2024-01-01 – 2024-12-31,0,0
JE-17,2024-06-03,6061,5476.32,C,C3,2024-01-01 – 2024-12-31,0,0
JE-17,2024-06-03,1000,-5476.32,C,C3,2024-01-01 – 2024-12-31,0,0
JE-18,2024-02-15,1104,3096.2,B,C1,2024-01-01 – 2024-12-31,0,0
JE-18,2024-02-15,1198,-3096.2,B,C1,2024-01-01 – 2024-12-31,0,0
JE-19,2024-11-15,6061,6741.63,C,C4,2024-01-01 – 2024-12-31,0,0
JE-19,2024-11-15,4010,-6741.63,C,C4,2024-01-01 – 2024-12-31,0,0
JE-20,2024-05-31,4010,9667.72,B,C5,2024-01-01 – 2024-12-31,0,0
JE-20,2024-05-31,2264,-9667.72,B,C5,2024-01-01 – 2024-12-31,0,0
