JE_NO,EFF_DATE,ACCOUNT,AMOUNT,SOURCE,COMPANY,FY,Fabricated_JE,TYPE
JE-1,2024-07-20,1104,3680.76,G,C5,2024-01-01 – 2024-12-31,0,0
JE-1,2024-07-20,1151,-3680.76,G,C5,2024-01-01 – 2024-12-31,0,0
JE-2,2024-09-14,1104,4425.79,B,C6,2024-01-01 – 2024-12-31,0,0
JE-2,2024-09-14,3106,-4425.79,B,C6,2024-01-01 – 2024-12-31,0,0
JE-3,2024-04-15,6061,3948.67,C,C7,2024-01-01 – 2024-12-31,0,0
JE-3,2024-04-15,3106,-3948.67,C,C7,2024-01-01 – 2024-12-31,0,0
JE-4,2025-02-09,5121,9566.64,D,C5,2024-01-01 – 2024-12-31,1,3
JE-4,2025-02-09,1104,-9566.64,D,C5,2024-01-01 – 2024-12-31,1,3
JE-5,2024-04-07,1151,5563.51,E,C4,2024-01-01 – 2024-12-31,0,0
JE-5,2024-04-07,1104,-5563.51,E,C4,2024-01-01 – 2024-12-31,0,0
JE-6,2024-05-13,1151,6690.76,C,C8,2024-01-01 – 2024-12-31,0,0
JE-6,2024-05-13,2264,-6690.76,C,C8,2024-01-01 – 2024-12-31,0,0
JE-7,2024-11-29,6061,7494.96,B,C5,2024-01-01 – 2024-12-31,0,0
JE-7,2024-11-29,2264,-7494.96,B,C5,2024-01-01 – 2024-12-31,0,0
JE-8,2024-12-02,2264,9055.71,B,C7,2024-01-01 – 2024-12-31,0,0
JE-8,2024-12-02,1000,-9055.71,B,C7,2024-01-01 – 2024-12-31,0,0
JE-9,2024-02-25,2264,2150.8,C,C6,2024-01-01 – 2024-12-31,0,0
JE-9,2024-02-25,2264,-2150.8,C,C6,2024-01-01 – 2024-12-31,0,0
JE-10,2024-12-26,3106,8908.56,C,C6,2024-01-01 – 2024-12-31,0,0
JE-10,2024-12-26,1104,-8908.56,C,C6,2024-01-01 – 2024-12-31,0,0
JE-11,2024-02-22,5121,9699.91,A,C3,2024-01-01 – 2024-12-31,0,0
JE-11,2024-02-22,4010,-9699.91,A,C3,2024-01-01 – 2024-12-31,0,0
JE-12,2024-06-17,1104,4211.46,F,C9,2024-01-01 – 2024-12-31,0,0
JE-12,2024-06-17,1198,-4211.46,F,C9,2024-01-01 – 2024-12-31,0,0
JE-13,2023-08-04,4010,9099.75,B,C9,2024-01-01 – 2024-12-31,1,3
JE-13,2023-08-04,1104,-9099.75,B,C9,2024-01-01 – 2024-12-31,1,3
JE-14,2024-02-08,3106,8089.04,E,C1,2024-01-01 – 2024-12-31,0,0
JE-14,2024-02-08,1104,-8089.04,E,C1,2024-01-01 – 2024-12-31,0,0
JE-15,2024-05-31,4010,3373.34,A,C2,2024-01-01 – 2024-12-31,0,0
JE-15,2024-05-31,6061,-3373.34,A,C2,2024-01-01 – 2024-12-31,0,0
JE-16,2024-11-04,1151,2916.36,F,C7,2024-01-01 – 2024-12-31,0,0
JE-16,2024-11-04,3106,-2916.36,F,C7,2024-01-01 – 2024-12-31,0,0
JE-17,2024-02-06,6061,5428.11,A,C4,2024-01-01 – 2024-12-31,0,0
JE-17,2024-02-06,1198,-5428.11,A,C4,2024-01-01 – 2024-12-31,0,0
JE-18,2024-01-19,4010,9727.23,G,C4,2024-01-01 – 2024-12-31,0,0
JE-18,2024-01-19,5121,-9727.23,G,C4,2024-01-01 – 2024-12-31,0,0
JE-19,2024-03-01,1151,4261.94,D,C1,2024-01-01 – 2024-12-31,0,0
JE-19,2024-03-01,4010,-4261.94,D,C1,2024-01-01 – 2024-12-31,0,0
JE-20,2024-03-19,1151,4137.45,E,C8,2024-01-01 – 2024-12-31,0,0
JE-20,2024-03-19,2264,-4137.45,E,C8,2024-01-01 – 2024-12-31,0,0
JE-21,2024-07-03,1151,3577.08,C,C4,2024-01-01 – 2024-12-31,0,0
JE-21,2024-07-03,1151,-3577.08,C,C4,2024-01-01 – 2024-12-31,0,0
JE-22,2024-03-22,4010,9451.3,A,C8,2024-01-01 – 2024-12-31,0,0
JE-22,2024-03-22,1151,-9451.3,A,C8,2024-01-01 – 2024-12-31,0,0
JE-23,2024-02-16,1104,1210.49,C,C7,2024-01-01 – 2024-12-31,0,0
JE-23,2024-02-16,1151,-1210.49,C,C7,2024-01-01 – 2024-12-31,0,0
JE-24,2024-12-09,4010,2514.66,A,C8,2024-01-01 – 2024-12-31,0,0
JE-24,2024-12-09,1000,-2514.66,A,C8,2024-01-01 – 2024-12-31,0,0
JE-25,2024-04-22,4010,6396.64,A,C4,2024-01-01 – 2024-12-31,0,0
JE-25,2024-04-22,1000,-6396.64,A,C4,2024-01-01 – 2024-12-31,0,0
JE-26,2024-12-01,4010,7429.77,B,C8,2024-01-01 – 2024-12-31,0,0
JE-26,2024-12-01,1000,-7429.77,B,C8,2024-01-01 – 2024-12-31,0,0
JE-27,2024-02-25,1198,2107.66,E,C6,2024-01-01 – 2024-12-31,0,0
JE-27,2024-02-25,1151,-2107.66,E,C6,2024-01-01 – 2024-12-31,0,0
JE-28,2024-05-04,3106,9763.79,A,C3,2024-01-01 – 2024-12-31,0,0
JE-28,2024-05-04,1104,-9763.79,A,C3,2024-01-01 – 2024-12-31,0,0
JE-29,2024-03-29,1151,3124.14,E,C6,2024-01-01 – 2024-12-31,0,0
JE-29,2024-03-29,6061,-3124.14,E,C6,2024-01-01 – 2024-12-31,0,0
JE-30,2024-09-17,1104,1930.93,C,C4,2024-01-01 – 2024-12-31,0,0
JE-30,2024-09-17,2264,-1930.93,C,C4,2024-01-01 – 2024-12-31,0,0
JE-31,2025-01-25,2264,9901.53,D,C6,2024-01-01 – 2024-12-31,1,3
JE-31,2025-01-25,6061,-9901.53,D,C6,2024-01-01 – 2024-12-31,1,3
JE-32,2024-12-18,5121,7547.99,C,C6,2024-01-01 – 2024-12-31,0,0
JE-32,2024-12-18,3106,-7547.99,C,C6,2024-01-01 – 2024-12-31,0,0
JE-33,2024-02-26,1198,7018.41,A,C2,2024-01-01 – 2024-12-31,0,0
JE-33,2024-02-26,1198,-7018.41,A,C2,2024-01-01 – 2024-12-31,0,0
JE-34,2024-09-02,2264,4245.95,A,C2,2024-01-01 – 2024-12-31,0,0
JE-34,2024-09-02,5121,-4245.95,A,C2,2024-01-01 – 2024-12-31,0,0
JE-35,2024-12-03,1104,4657.01,F,C7,2024-01-01 – 2024-12-31,0,0
JE-35,2024-12-03,4010,-4657.01,F,C7,2024-01-01 – 2024-12-31,0,0
JE-36,2025-06-29,1104,2373.85,G,C6,2024-01-01 – 2024-12-31,1,3
JE-36,2025-06-29,2264,-2373.85,G,C6,2024-01-01 – 2024-12-31,1,3
JE-37,2024-05-01,1198,5278.41,G,C5,2024-01-01 – 2024-12-31,0,0
JE-37,2024-05-01,5121,-5278.41,G,C5,2024-01-01 – 2024-12-31,0,0
JE-38,2024-03-28,1104,4361.02,F,C1,2024-01-01 – 2024-12-31,0,0
JE-38,2024-03-28,1151,-4361.02,F,C1,2024-01-01 – 2024-12-31,0,0
JE-39,2024-10-15,3106,8257.44,E,C3,2024-01-01 – 2024-12-31,0,0
JE-39,2024-10-15,4010,-8257.44,E,C3,2024-01-01 – 2024-12-31,0,0
JE-40,2024-03-03,6061,5204.57,G,C9,2024-01-01 – 2024-12-31,0,0
JE-40,2024-03-03,2264,-5204.57,G,C9,2024-01-01 – 2024-12-31,0,0
JE-41,2024-11-07,2264,2530.18,C,C8,2024-01-01 – 2024-12-31,0,0
JE-41,2024-11-07,1198,-2530.18,C,C8,2024-01-01 – 2024-12-31,0,0
JE-42,2024-05-30,5121,1758.67,C,C9,2024-01-01 – 2024-12-31,0,0
JE-42,2024-05-30,6061,-1758.67,C,C9,2024-01-01 – 2024-12-31,0,0
JE-43,2023-11-25,1000,6243.83,F,C1,2024-01-01 – 2024-12-31,1,3
JE-43,2023-11-25,2264,-6243.83,F,C1,2024-01-01 – 2024-12-31,1,3
JE-44,2024-11-01,1104,1722.12,A,C4,2024-01-01 – 2024-12-31,0,0
JE-44,2024-11-01,6061,-1722.12,A,C4,2024-01-01 – 2024-12-31,0,0
JE-45,2024-09-29,6061,6176.78,A,C5,2024-01-01 – 2024-12-31,0,0
JE-45,2024-09-29,1151,-6176.78,A,C5,2024-01-01 – 2024-12-31,0,0
