JE_NO,EFF_DATE,ACCOUNT,AMOUNT,SOURCE,COMPANY,FY,Fabricated_JE,TYPE,ACCOUNT_DC
JE-1,2018-08-30,3170,-4959.13,4,8,2018-08-01 – 2019-07-28,0,0,3170_C
JE-1,2018-08-30,3186,4959.13,4,8,2018-08-01 – 2019-07-28,0,0,3186_D
JE-1,2018-08-30,2184,2824.59,4,8,2018-08-01 – 2019-07-28,0,0,2184_D
JE-1,2018-08-30,3122,-2824.59,4,8,2018-08-01 – 2019-07-28,0,0,3122_C
JE-2,2018-05-20,1105,-42343.46,7,5,2018-05-01 – 2019-04-28,0,0,1105_C
JE-2,2018-05-20,2103,-12647.29,7,5,2018-05-01 – 2019-04-28,0,0,2103_C
JE-2,2018-05-20,2267,42343.46,7,5,2018-05-01 – 2019-04-28,0,0,2267_D
JE-2,2018-05-20,2203,12647.29,7,5,2018-05-01 – 2019-04-28,0,0,2203_D
JE-2,2018-05-20,2192,-4236.23,7,5,2018-05-01 – 2019-04-28,0,0,2192_C
JE-2,2018-05-20,2251,4236.23,7,5,2018-05-01 – 2019-04-28,0,0,2251_D
JE-3,2018-08-13,2297,-45455.63,4,6,2018-08-01 – 2019-07-28,0,0,2297_C
JE-3,2018-08-13,2223,45455.63,4,6,2018-08-01 – 2019-07-28,0,0,2223_D
JE-4,2019-12-01,3162,-23823.38,3,8,2019-12-01 – 2020-11-28,0,0,3162_C
JE-4,2019-12-01,2121,23823.38,3,8,2019-12-01 – 2020-11-28,0,0,2121_D
JE-4,2019-12-01,3193,47230.0,3,8,2019-12-01 – 2020-11-28,0,0,3193_D
JE-4,2019-12-01,2190,-47230.0,3,8,2019-12-01 – 2020-11-28,0,0,2190_C
JE-5,2019-05-12,1119,34036.76,4,2,2019-05-01 – 2020-04-28,0,0,1119_D
JE-5,2019-05-12,2229,15647.39,4,2,2019-05-01 – 2020-04-28,0,0,2229_D
JE-5,2019-05-12,2268,-1445.39,4,2,2019-05-01 – 2020-04-28,0,0,2268_C
JE-5,2019-05-12,3156,-34036.76,4,2,2019-05-01 – 2020-04-28,0,0,3156_C
JE-5,2019-05-12,3207,1445.39,4,2,2019-05-01 – 2020-04-28,0,0,3207_D
JE-5,2019-05-12,3179,-15647.39,4,2,2019-05-01 – 2020-04-28,0,0,3179_C
JE-6,2018-01-26,1191,6763.55,4,3,2018-01-01 – 2019-12-28,0,0,1191_D
JE-6,2018-01-26,2157,-6763.55,4,3,2018-01-01 – 2019-12-28,0,0,2157_C
JE-6,2018-01-26,1141,-33367.83,4,3,2018-01-01 – 2019-12-28,0,0,1141_C
JE-6,2018-01-26,3226,-39075.59,4,3,2018-01-01 – 2019-12-28,0,0,3226_C
JE-6,2018-01-26,2182,33367.83,4,3,2018-01-01 – 2019-12-28,0,0,2182_D
JE-6,2018-01-26,2244,39075.59,4,3,2018-01-01 – 2019-12-28,0,0,2244_D
JE-7,2019-02-05,2201,19535.35,7,8,2019-02-01 – 2020-01-28,0,0,2201_D
JE-7,2019-02-05,2283,-19535.35,7,8,2019-02-01 – 2020-01-28,0,0,2283_C
JE-8,2019-03-11,3194,49306.94,2,5,2019-03-01 – 2020-02-28,0,0,3194_D
JE-8,2019-03-11,1179,-49306.94,2,5,2019-03-01 – 2020-02-28,0,0,1179_C
JE-8,2019-03-11,2286,-44397.06,2,5,2019-03-01 – 2020-02-28,0,0,2286_C
JE-8,2019-03-11,3180,44397.06,2,5,2019-03-01 – 2020-02-28,0,0,3180_D
JE-9,2018-09-26,2189,9951.2,3,6,2018-09-01 – 2019-08-28,0,0,2189_D
JE-9,2018-09-26,3216,-46176.01,3,6,2018-09-01 – 2019-08-28,0,0,3216_C
JE-9,2018-09-26,2292,-9951.2,3,6,2018-09-01 – 2019-08-28,0,0,2292_C
JE-9,2018-09-26,3209,46176.01,3,6,2018-09-01 – 2019-08-28,0,0,3209_D
JE-10,2019-10-29,2220,12566.23,4,2,2019-10-01 – 2020-09-28,0,0,2220_D
JE-10,2019-10-29,3187,-12566.23,4,2,2019-10-01 – 2020-09-28,0,0,3187_C
JE-11,2018-05-16,2250,-5264.88,3,9,2018-05-01 – 2019-04-28,0,0,2250_C
JE-11,2018-05-16,3183,5264.88,3,9,2018-05-01 – 2019-04-28,0,0,3183_D
JE-11,2018-05-16,1196,-38037.9,3,9,2018-05-01 – 2019-04-28,0,0,1196_C
JE-11,2018-05-16,3175,36850.55,3,9,2018-05-01 – 2019-04-28,0,0,3175_D
JE-11,2018-05-16,2203,38037.9,3,9,2018-05-01 – 2019-04-28,0,0,2203_D
JE-11,2018-05-16,2281,-36850.55,3,9,2018-05-01 – 2019-04-28,0,0,2281_C
JE-12,2018-11-29,2237,25928.77,3,7,2018-11-01 – 2019-10-28,0,0,2237_D
JE-12,2018-11-29,2204,-5118.41,3,7,2018-11-01 – 2019-10-28,0,0,2204_C
JE-12,2018-11-29,3194,38993.69,3,7,2018-11-01 – 2019-10-28,0,0,3194_D
JE-12,2018-11-29,3124,-25928.77,3,7,2018-11-01 – 2019-10-28,0,0,3124_C
JE-12,2018-11-29,1198,-38993.69,3,7,2018-11-01 – 2019-10-28,0,0,1198_C
JE-12,2018-11-29,2122,5118.41,3,7,2018-11-01 – 2019-10-28,0,0,2122_D
JE-13,2018-10-26,2250,3695.8,5,3,2018-10-01 – 2019-09-28,0,0,2250_D
